time,pos_x,pos_y,pos_z,roll,pitch,yaw,vel_x,vel_y,vel_z,target_x,target_y,target_z,target_yaw,cmd_vel_x,cmd_vel_y,cmd_vel_z,cmd_yaw_rate,dist_x,dist_y,dist_z
224.80000000070933,1.8797126542300804,1.8776628321854951,2.023577385478154,0.0012787157634641115,-0.0012768303678105713,-0.00029109504173503855,0.04189210757613182,0.04204621911048889,-0.0037585883401334286,2.0,2.0,2.0,0.0,0.21080851689342855,0.21350249237222899,-9.669812360697328e-05,0.00014554752086751928,-0.09178823372550242,-0.09103910929448933,-0.010066026654303657
225.0000000007103,1.9127123950162495,1.9109228078653018,2.0230641700738863,-0.0006631326462455183,0.0006242067544794802,-0.00023652069722593862,0.02733481302857399,0.02774578332901001,0.0017011940944939852,2.0,2.0,2.0,0.0,0.2,0.2,0.005168645044607496,0.00011826034861296931,-0.11908058352399933,-0.11846074616383856,-0.010867401100173429
225.20000000071124,1.9356341469060105,1.9341005114803147,2.0260953191104583,-0.003951806172927121,0.003930395951254261,-0.0002869956715838719,0.020305730402469635,0.020562471821904182,0.004206049721688032,2.0,2.0,2.0,0.0,0.2,0.2,0.00689081471705241,0.00014349783579193596,-0.1397165914361201,-0.13925520964326904,-0.011663806703268796
225.4000000007122,1.9541790567031243,1.9528155615381757,2.0298950741159145,-0.005727003542285037,0.003641277157443262,-5.935272494537543e-06,0.019306505098938942,0.020580552518367767,0.0006262112292461097,2.0,2.0,2.0,0.0,-0.2,0.0,0.016064926393521656,2.9676362472687717e-06,-0.15583483178782778,-0.15551150075211276,-0.012500785470889232
225.60000000071315,1.9675093248179005,1.9703565703242534,2.0246244079558657,0.0036368414012058394,-0.0038000176574910093,0.0008533577853661003,0.01126575656235218,0.01739615574479103,-0.01670546643435955,2.0,2.0,2.0,0.0,0.2,-0.4,0.008339605832460524,-0.00042667889268305014,-0.1678698012922624,-0.17769454631801684,-0.013564516586029425
225.8000000007141,1.9833285682630606,1.9687762209741415,2.0159070516258417,-0.005894914316909872,-0.0064151195808293485,0.00043673101546233854,0.01936185173690319,0.013082167133688927,-0.007326070684939623,2.0,2.0,2.0,0.0,0.13836681519352864,-0.30568402114462184,0.011434571395929956,-0.00021836550773116927,-0.1849070739694419,-0.17567426721406829,-0.014525762623268946
226.00000000071506,1.998031117057105,1.9735311543140794,2.0089600886964796,-0.0007223025230863964,-0.002249841150267681,-0.00038287034692011004,0.016410021111369133,0.003177226521074772,-0.004720503464341164,2.0,2.0,2.0,0.0,0.05419686185423357,-0.02076216262487741,0.023621181326485382,0.00019143517346005502,-0.18969331730778724,-0.1899752513909336,-0.01541204474061397
226.20000000071602,2.007261931030753,1.9762947615976825,2.007747986865533,0.00043121646962226474,-8.934295734172549e-05,0.0003967061015596841,0.00838765874505043,0.0034238516818732023,0.0006978298188187182,2.0,2.0,2.0,0.0,0.007863151952774757,0.0013080832182872024,0.01253154610650966,-0.00019835305077984205,-0.1924068017951404,-0.19297418712155773,-0.01616915691370367
226.40000000071697,2.0129595513232617,1.9794266873911637,2.0083106578352057,0.00030424501291398805,7.740020743588436e-05,0.0004030983007898732,0.005821704398840666,0.00423000892624259,0.0022713711950927973,2.0,2.0,2.0,0.0,0.007478984962310899,-0.00762161918217541,0.013364532060176853,-0.0002015491503949366,-0.19392260112575024,-0.19457325050991137,-0.01692760194860501
226.60000000071793,2.0174023451284393,1.983117682468189,2.009559882239967,0.0003099182441878741,0.00016438052774934555,0.0003271659828894299,0.0050057051703333855,0.0048027243465185165,0.00269788084551692,2.0,2.0,2.0,0.0,0.005098872773482017,-0.00921651667376484,0.013508966342870618,-0.00016358299144471496,-0.1947359665586188,-0.19539520505700425,-0.01769810838491894
